hole_id,east,north,elevation,from,to,final_depth,sample_length,dip_direction,dip,cu_perc,lithology,hole_radius
DH-110,7885.12343785,243705.09846878,798.05045071,77,82,181.3,5,155.6112272,51.38519783,0.39,MzP,1
DH-110,7886.40485125,243702.22766707,794.16261901,82,87,181.3,5,156.27559404,50.69395974,0.42,MzP,1
DH-110,7890.77340535,243691.73940063,780.86869898,99.5,104.5,181.3,5,158.44533382,48.2578315,1.05,MzP,1
DH-110,7891.98813801,243688.61759315,777.16053967,104.5,109.5,181.3,5,159.02780978,47.5540604,1.1,MzP,1
DH-110,7893.18713831,243685.44238689,773.49510066,109.5,114.5,181.3,5,159.59389899,46.84857906,0.64,MzP,1
DH-110,7894.37127004,243682.21164909,769.86975004,114.5,119.5,181.3,5,160.14448377,46.14142032,0.94,MzP,1
DH-110,7895.54065527,243678.92507982,766.28411595,119.5,124.5,181.3,5,160.67999174,45.4331441,1.03,MzP,1
DH-110,7896.6970008,243675.59134909,762.73372634,124.5,129.5,181.3,5,161.05880198,44.91959398,0.76,MzP,1
DH-110,7897.84785381,243672.24344218,759.19850388,129.5,134.5,181.3,5,161.00000121,45.00000077,0.8,MzP,1
DH-110,7898.99891105,243668.90052919,755.66296997,134.5,139.5,181.3,5,161.00000121,45.00000076,0.79,MzP,1
DH-110,7900.1499683,243665.55761621,752.12743607,139.5,144.5,181.3,5,161.00000121,45.00000076,0.69,MzP,1
DH-110,7901.30102555,243662.21470323,748.59190216,144.5,149.5,181.3,5,161.00000121,45.00000076,0.63,MzP,1
DH-110,7902.4520828,243658.87179025,745.05636825,149.5,154.5,181.3,5,161.00000121,45.00000077,0.61,MzP,1
DH-110,7903.60314005,243655.52887726,741.52083435,154.5,159.5,181.3,5,161.00000121,45.00000077,0.61,MzP,1
DH-110,7904.7541973,243652.18596428,737.98530044,159.5,164.5,181.3,5,161.00000121,45.00000076,0.6,MzP,1
DH-110,7905.90525455,243648.8430513,734.44976654,164.5,169.5,181.3,5,161.00000122,45.00000076,0.57,MzP,1
DH-110,7907.0563118,243645.50013831,730.91423263,169.5,174.5,181.3,5,161.0000012,45.00000078,0.75,MzP,1
DH-110,7908.20736904,243642.15722533,727.37869872,174.5,179.5,181.3,5,161.00000121,45.00000076,0.64,MzP,1
DH-111,7899.50217316,243772.98572821,828.47760577,33.85,38,177.6,4.15,157.24699711,54.47294395,0.79,TnP,1
DH-111,7902.39402886,243766.04449905,818.28429842,46.1,51.1,177.6,5,157.51190895,52.6972954,0.41,GnP,1
DH-111,7903.55930483,243763.2226934,814.32755666,51.1,56.1,177.6,5,157.61060719,51.99626051,0.37,GnP,1
DH-111,7904.58325769,243760.7323064,810.91624949,56.1,59.8,177.6,3.7,157.70104179,51.33397146,0.47,GnP,1
DH-111,7906.91134164,243755.03164044,803.39358678,65.55,69.8,177.6,4.25,157.87237516,50.02443922,0.64,GnP,1
DH-111,7908.65047305,243750.74126443,797.96723394,72.3,77.3,177.6,5,157.99658991,49.02794675,0.68,GnP,1
DH-111,7909.86897654,243747.67791636,794.20419606,77.3,82.3,177.6,5,158.61773516,48.52837416,0.97,MzP,1
DH-111,7911.06525964,243744.57059011,790.46879029,82.3,87.3,177.6,5,159.26723749,48.04445045,1.1,MzP,1
DH-111,7912.23710782,243741.42258755,786.76439745,87.3,92.3,177.6,5,159.8942802,47.55283164,1.06,MzP,1
DH-111,7913.38495041,243738.23370975,783.09086456,92.3,97.3,177.6,5,160.51008537,47.05748634,1.02,MzP,1
DH-111,7914.50886591,243735.00376272,779.44795069,97.3,102.3,177.6,5,161.11473737,46.55871773,0.8,MzP,1
DH-111,7915.60893149,243731.73254933,775.83541622,102.3,107.3,177.6,5,161.70833009,46.05683015,0.74,MzP,1
DH-111,7916.44075203,243729.18755805,773.07324741,107.3,110,177.6,2.7,162.25262122,45.5857177,0.64,MzP,1
DH-111,7918.80262122,243721.54909458,765.05419458,117.5,122.45,177.6,4.95,163.44589212,44.5152173,0.49,MzP,1
DH-111,7920.78413427,243714.70249335,758.13925709,127.4,132.4,177.6,5,164.00000127,44.00000074,0.71,MzP,1
DH-111,7921.72594964,243711.41799282,754.83962983,132.4,136.9,177.6,4.5,164.00000125,44.00000077,0.63,MzP,1
DH-111,7924.98760498,243700.04324887,743.41249964,148.6,153.6,177.6,5,164.00000127,44.00000074,0.93,MzP,1
DH-112,7926.41378374,243722.78416904,831.94670719,23.5,28.5,174.2,5,159.02149181,55.94011188,0.88,TnP,1
DH-112,7927.4178726,243720.15815776,827.81134624,28.5,33.5,174.2,5,159.12810553,55.64018872,0.62,TnP,1
DH-112,7928.42481934,243717.51003591,823.69062835,33.5,38.5,174.2,5,159.23295377,55.34059223,0.63,TnP,1
DH-112,7929.43442245,243714.84034199,819.58536275,38.5,43.5,174.2,5,159.33625147,55.04083791,0.51,GnP,1
DH-112,7930.44669613,243712.14903917,815.49549039,43.5,48.5,174.2,5,159.43802926,54.74095354,0.57,GnP,1
DH-112,7931.46165463,243709.43609028,811.42095238,48.5,53.5,174.2,5,159.53831699,54.44096683,0.32,GnP,1
DH-112,7932.47931225,243706.70145783,807.36169004,53.5,58.5,174.2,5,159.63714376,54.14090555,0.41,GnP,1
DH-112,7933.49968334,243703.94510399,803.31764485,58.5,63.5,174.2,5,159.73453789,53.84079741,0.45,GnP,1
DH-112,7934.52278226,243701.16699065,799.28875853,63.5,68.5,174.2,5,159.83052711,53.54066998,0.44,GnP,1
DH-112,7935.54862344,243698.36707935,795.27497301,68.5,73.5,174.2,5,159.92513835,53.24055086,0.65,GnP,1
